what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005481289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005507024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005507584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005775444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005802986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005805937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005809424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005815940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005825763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005832560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005834406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005849106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005851180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005853896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005867584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005874306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005878512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005917872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005925699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005942940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005945934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005946505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452005949610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005950214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452005981417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006051259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006076408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006079450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006098877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006101253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006117398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006126015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006146659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006150284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006226282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006226908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006239971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006241476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006246942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006248991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452006271481
